ahl,atc,mean,median,cv,variant,strain,date,file,note
0.002104417,0.211892619,339.1870293,281.3177576,2.475633806,331/347d,mg1655,170727,38,
0.002281053,0.211892619,1079.15346,422.6434653,1.995617189,331/347d,mg1655,170727,39,
0.002472514,0.211892619,1785.272645,684.9201078,1.653241845,331/347d,mg1655,170727,40,
0.002680046,0.211892619,3403.732035,2215.212965,1.1872019,331/347d,mg1655,170727,41,
0.002904998,0.211892619,5509.533903,4635.331101,0.892381551,331/347d,mg1655,170727,42,
0.00314883,0.211892619,7575.522169,6705.225679,0.689188119,331/347d,mg1655,170727,43,
0.00341313,0.211892619,9599.665092,8415.494462,0.594208281,331/347d,mg1655,170727,44,
0.003699613,0.211892619,10859.46971,9608.043145,0.557058123,331/347d,mg1655,170727,45,
0.004010142,0.211892619,11485.13136,10073.73242,0.554672713,331/347d,mg1655,170727,46,
0.004346736,0.211892619,12983.33128,11392.90888,0.528375889,331/347d,mg1655,170727,47,
0.004711582,0.211892619,13214.1645,11610.6574,0.512732421,331/347d,mg1655,170727,48,
0.005107051,0.211892619,14147.8093,12406.07675,0.517170436,331/347d,mg1655,170727,49,
0.005535715,0.211892619,14895.79958,13007.38305,0.515899374,331/347d,mg1655,170727,50,
0,0.50396842,76.00840998,207.798382,1.07142421,331/347d,mg1655,170727,51,
8.67E-04,0.50396842,79.62617066,207.798382,1.102282672,331/347d,mg1655,170727,52,
9.40E-04,0.50396842,82.48027046,213.7841195,1.078682711,331/347d,mg1655,170727,53,
1.02E-03,0.50396842,82.84569487,209.7747706,1.071671878,331/347d,mg1655,170727,54,
1.10E-03,0.50396842,82.73171427,211.7699569,1.141606367,331/347d,mg1655,170727,55,
0.001197037,0.50396842,87.62754726,215.8174391,1.068559395,331/347d,mg1655,170727,56,
0.001297511,0.50396842,91.63862996,217.8700977,1.05278385,331/347d,mg1655,170727,57,
0.001406418,0.50396842,101.064574,224.1459561,1.113363448,331/347d,mg1655,170727,58,
0.001524467,0.50396842,120.47107,237.2452182,1.210221386,331/347d,mg1655,170727,59,
0.001652424,0.50396842,142.6138678,248.7441835,1.305826717,331/347d,mg1655,170727,60,
0.001791121,0.50396842,168.4245334,260.8004886,1.391262002,331/347d,mg1655,170727,61,
0.00194146,0.50396842,281.4003172,286.6944816,2.23401501,331/347d,mg1655,170727,62,
0.002104417,0.50396842,367.7828031,294.9528612,2.480600227,331/347d,mg1655,170727,63,
0.002281053,0.50396842,1150.058368,455.89298,1.868557005,331/347d,mg1655,170727,64,
0.002472514,0.50396842,2137.015081,953.9556434,1.47052251,331/347d,mg1655,170727,65,
0.002680046,0.50396842,4064.927882,3085.345115,1.065091579,331/347d,mg1655,170727,66,
0.002904998,0.50396842,6181.037163,5393.345644,0.805416054,331/347d,mg1655,170727,67,
0.00314883,0.50396842,7584.335547,6673.639107,0.727705196,331/347d,mg1655,170727,68,
0.00341313,0.50396842,9506.258399,8257.668645,0.639405527,331/347d,mg1655,170727,69,
0.003699613,0.50396842,11268.37078,9884.80769,0.553843544,331/347d,mg1655,170727,70,
0.004010142,0.50396842,11808.10274,10266.26801,0.560319047,331/347d,mg1655,170727,71,
0.004346736,0.50396842,13192.91653,11501.26783,0.540407893,331/347d,mg1655,170727,72,
0.004711582,0.50396842,14108.03641,12406.07675,0.525478654,331/347d,mg1655,170727,73,
0.005107051,0.50396842,15123.66172,13255.98844,0.523393087,331/347d,mg1655,170727,74,
0.005535715,0.50396842,15641.63289,13767.54453,0.509618956,331/347d,mg1655,170727,75,
0,1.198645662,161.6320541,285.3439385,0.792241044,331/347d,mg1655,170727,76,
8.67E-04,1.198645662,159.5301882,283.9933955,0.793948096,331/347d,mg1655,170727,77,
9.40E-04,1.198645662,159.899413,283.9933955,0.787582556,331/347d,mg1655,170727,78,
1.02E-03,1.198645662,164.9868004,286.6944816,0.77748883,331/347d,mg1655,170727,79,
1.10E-03,1.198645662,167.98751,289.421258,0.803438093,331/347d,mg1655,170727,80,
0.001197037,1.198645662,170.171979,292.1739689,0.771358205,331/347d,mg1655,170727,81,
0.001297511,1.198645662,168.1363913,289.421258,0.786677556,331/347d,mg1655,170727,82,
0.001406418,1.198645662,178.0909818,294.9528612,0.834446778,331/347d,mg1655,170727,83,
0.001524467,1.198645662,188.6116904,303.4491276,0.831978475,331/347d,mg1655,170727,84,
0.001652424,1.198645662,194.2772098,312.1901333,0.82240244,331/347d,mg1655,170727,85,
0.001791121,1.198645662,233.8733316,333.5775589,0.951319839,331/347d,mg1655,170727,86,
0.00194146,1.198645662,313.0304321,359.8202264,1.63676148,331/347d,mg1655,170727,87,
0.002104417,1.198645662,367.4408833,366.6973396,1.74650139,331/347d,mg1655,170727,88,
0.002281053,1.198645662,1190.819165,550.9152199,1.931777276,331/347d,mg1655,170727,89,
0.002472514,1.198645662,2561.567498,1267.246149,1.349397489,331/347d,mg1655,170727,90,
0.002680046,1.198645662,3825.176882,2793.457926,1.051774323,331/347d,mg1655,170727,91,
